,0
0,(-2.5574487304188544e-15+9.982948191240944e-17j)
1,(-90.80212934222602+6.017020045965316e-16j)
2,(-41.82169777755143+3.012622183643814e-16j)
3,(-87.29018827950256-6.426423565874314e-16j)
4,(-42.71558607499853-1.7575907977067048e-16j)
5,(-45.735916606880494-1.5756637183142097e-15j)
6,(-84.02275118318612+1.986857221863769e-15j)
7,(-83.37858336484119-1.7591905140445206e-15j)
8,(-82.63856409637788+6.095887862389644e-17j)
9,(-47.53921444972443-1.3387926556210877e-15j)
10,(-80.06473142859991-4.136947818520792e-15j)
11,(-49.20168226546935-3.649303977924238e-15j)
12,(-78.27718419350767+2.340915460429548e-15j)
13,(-50.4244224226413-3.1254134103573597e-15j)
14,(-51.478033759329925-4.1865387516964365e-15j)
15,(-52.32394451925626-4.204314880611635e-15j)
16,(-75.97952088173209-8.249704599758205e-17j)
17,(-53.92782962084084+2.37798589947273e-15j)
18,(-73.9888843903426-2.285287602207862e-15j)
19,(-72.1345624757853-6.583717786105691e-15j)
20,(-55.10577415825416-1.5271500569858946e-15j)
21,(-56.42362014924702-8.959264389233106e-16j)
22,(-57.52948469958605-4.417396135849965e-16j)
23,(-71.33250523874577+5.601257390836017e-16j)
24,(-59.03625223407317+9.57419415254678e-16j)
25,(-55.64178645862147+9.038851247098913e-16j)
26,(-69.14467443114687-2.4797215099634404e-15j)
27,(-67.85198941473446+1.9813436435282826e-16j)
28,(-60.13728135283177+8.829403659301189e-16j)
29,(-61.34028845722513-1.9251173378897337e-15j)
30,(-66.5637376155699-3.2679682083894632e-15j)
31,(-64.41668443206534+3.5937719359182737e-16j)
32,(-50.62403387489393+8.455090932993982e-16j)
33,(-50.62403387489373-9.288948699581658e-16j)
34,(-78.97128426694806-5.329070555377124e-15j)
35,(-78.97128426694819-1.4123142759447926e-14j)
36,(-54.9687168861364-2.2513146115800342e-15j)
37,(-74.94961409635336-7.1023090525165335e-15j)
38,(-74.94961409635351+3.164135620181696e-15j)
39,(-75.2453691929776-1.0207680050497982e-14j)
40,(-75.24536919297707+3.2443826745716213e-15j)
41,(-54.96871688613644-1.0675393190180933e-15j)
42,(-55.63735964335683-3.552713664236244e-15j)
43,(-55.63735964335689+2.1180973641676815e-15j)
44,(-71.22369902238255+1.7763568394002505e-15j)
45,(-71.22369902238242-5.599687380453133e-15j)
46,(-70.46057637428117-1.3322676135235264e-15j)
47,(-70.46057637428139+5.747897817431902e-15j)
48,(-68.49275054726579-7.327471938805776e-15j)
49,(-68.49275054726614+1.82948274585204e-15j)
50,(-59.98204265459926-7.105427357601002e-15j)
51,(-59.982042654599326+4.052314039881821e-15j)
