index, number
0,(-30.592198434432333+0j)
1,(-35.87505365335278+0j)
2,(-3.7682219008410606e-15+0j)
3,(3.768221900841059e-15+0j)
4,(1.2560739669470201e-14+0j)
5,(-341.5771462008115+0j)
6,(-322.74020101227507+0j)
7,(-329.14795273397795+0j)
8,(-350.9220934830763+0j)
9,(-400.558538154021+0j)
10,(-418.5010370704184+0j)
11,(-752.094080190572+0j)
12,(-772.9653536419477+0j)
13,(-1116.8462111718302+0j)
14,(-1149.0900988549135+0j)
15,(-4.421380363653511e-13+0j)
16,(-2.8136056859613254e-13+0j)
17,(-2.411662016538279e-13+0j)
18,(-3.2959380892689814e-12+0j)
19,(-2228.962433794856+0j)
20,(-2251.8959317998206+0j)
21,(-2257.247941586437+0j)
22,(-2277.8919066666454+0j)
23,(-2308.4327297960226+0j)
24,(-2325.7964150194025+0j)
25,(-3059.3828265419515+0j)
26,(-3020.618473197002+0j)
27,(-3948.374565194491+0j)
28,(-3913.7131759380086+0j)
29,(-4064.358098363419+0j)
30,(-4101.169955189423+0j)
31,(-4105.9256739670855+0j)
32,(-4068.6909158830144+0j)
33,(-4502.362890223261+0j)
34,(-4547.016266061644+0j)
35,(-4603.183019415692+0j)
36,(-4639.750938730742+0j)
37,(-4729.472800620607+0j)
38,(-4761.228196524721+0j)
39,(-4742.186597096553+0j)
40,(-4775.8762417309745+0j)
41,(-4809.781142467218+0j)
42,(-4844.220083224056+0j)
43,(-5308.069472409521+0j)
44,(-5352.9822087256725+0j)
45,(-5310.332805638662+0j)
46,(-5355.732895145866+0j)
47,(-5322.66534998651+0j)
48,(-5364.633419921804+0j)
49,(-5499.577278964329+0j)
50,(-5549.8024126566725+0j)
51,(-5767.620941444482+0j)
52,(-5805.617245600761+0j)
53,(-5887.6613917972845+0j)
54,(-5939.582520586887+0j)
55,(-5916.60733428992+0j)
56,(-5967.7357558993035+0j)
57,(-5939.775626101215+0j)
58,(-5993.6754052194065+0j)
59,(-5996.614343347543+0j)
60,(-5940.992424511038+0j)
61,(-5992.99404130989+0j)
62,(-6051.205020906221+0j)
63,(-6118.9853462402625+0j)
64,(-6188.1335970912805+0j)
65,(-8562.366089871242+0j)
66,(-8587.567072915668+0j)
67,(-8710.504516557938+0j)
68,(-8731.282784989142+0j)
69,(-8722.408443990675+0j)
70,(-8746.065637499654+0j)
71,(-8973.651726028855+0j)
72,(-9011.890675870975+0j)
73,(-9044.450480184643+0j)
74,(-9094.292204201363+0j)
75,(-9047.729491056187+0j)
76,(-9095.63475461297+0j)
77,(-9175.614231358808+0j)
78,(-9216.967451745786+0j)
79,(-9203.020257353171+0j)
80,(-9248.165607989878+0j)
81,(-9376.501560577708+0j)
82,(-9420.818772023016+0j)
83,(-9377.066508329832+0j)
84,(-9423.06795279995+0j)
85,(-9431.419985573591+0j)
86,(-9472.48701924274+0j)
87,(-9437.996781995535+0j)
88,(-9480.154327174641+0j)
89,(-9457.325707204807+0j)
90,(-9502.574910687308+0j)
91,(-9515.716517769382+0j)
92,(-9559.604129460704+0j)
93,(-9524.771449829957+0j)
94,(-9569.9454062306+0j)
95,(-9687.941677196628+0j)
96,(-9650.788295030818+0j)
97,(-9691.56851874778+0j)
98,(-9727.715795624918+0j)
99,(-9715.725584219577+0j)
100,(-9755.52428678817+0j)
101,(-9753.3989849651+0j)
102,(-9796.545647242856+0j)
103,(-9783.982969453522+0j)
104,(-9826.262737800782+0j)
105,(-9940.461283399243+0j)
106,(-9982.259124170547+0j)
107,(-9943.431249154342+0j)
108,(-9983.846950188188+0j)
109,(-9966.00622007608+0j)
110,(-10012.122358189416+0j)
111,(-9975.215137897841+0j)
112,(-10022.344918256642+0j)
113,(-10114.64696509152+0j)
114,(-10170.177901570187+0j)
115,(-10214.084347803633+0j)
116,(-10266.627015692673+0j)
117,(-10265.184288110413+0j)
118,(-10313.151095212153+0j)
119,(-10267.072432204473+0j)
120,(-10315.44001650438+0j)
121,(-10333.474499477554+0j)
122,(-10376.254268365294+0j)
123,(-10420.08590857633+0j)
124,(-10464.42991315028+0j)
125,(-10429.642366286622+0j)
126,(-10476.043013716278+0j)
127,(-10555.93141487984+0j)
128,(-10613.812089430661+0j)
129,(-10585.335618185527+0j)
130,(-10640.524678116217+0j)
131,(-10643.821036156558+0j)
132,(-10703.224123080934+0j)
133,(-10688.23478808066+0j)
134,(-10746.131255028793+0j)
135,(-10702.630700802376+0j)
136,(-10768.73172554047+0j)
137,(-10834.403185632+0j)
138,(-10901.742074040998+0j)
139,(-10886.831746682594+0j)
140,(-10948.299087701602+0j)
141,(-11009.190904516148+0j)
142,(-10938.560358171657+0j)
143,(-11132.084532160741+0j)
144,(-11211.044338984153+0j)
145,(-11487.84348095845+0j)
146,(-11573.862032048228+0j)
147,(-11494.247705963666+0j)
148,(-11582.509062134524+0j)
149,(-11518.572827352124+0j)
150,(-11598.870632889324+0j)
151,(-11644.852779208832+0j)
152,(-11728.089886142343+0j)
153,(-11692.898379095444+0j)
154,(-11782.683387628878+0j)
155,(-11702.141999389212+0j)
156,(-11792.312234442574+0j)
157,(-11716.964492297277+0j)
158,(-11810.716218668244+0j)
159,(-11724.763873696069+0j)
160,(-11814.662055537121+0j)
161,(-11786.286724782225+0j)
162,(-11873.382407508056+0j)
163,(-11793.563758463446+0j)
164,(-11879.568051628665+0j)
165,(-11812.23499381898+0j)
166,(-11903.515904866053+0j)
167,(-11832.791826933542+0j)
168,(-11913.926766529268+0j)
169,(-11879.395831362632+0j)
170,(-11965.357107669177+0j)
171,(-11888.439251322576+0j)
172,(-11972.13866272109+0j)
173,(-11916.444310863615+0j)
174,(-12000.248317209518+0j)
175,(-12041.50554737716+0j)
176,(-11956.852921135753+0j)
177,(-11984.131112629893+0j)
178,(-12066.90937775515+0j)
179,(-11998.69211206436+0j)
180,(-12082.877491814816+0j)
181,(-12062.934665907014+0j)
182,(-12139.237156988384+0j)
183,(-12081.55430627062+0j)
184,(-12152.833297486224+0j)
185,(-12146.887104420373+0j)
186,(-12216.369647217663+0j)
187,(-12192.351745871129+0j)
188,(-12256.352641164687+0j)
189,(-12316.182611108215+0j)
190,(-12244.832875655857+0j)
191,(-17416.90363393704+0j)
192,(-17482.528179136585+0j)
193,(-23087.72416060978+0j)
194,(-23194.526851591734+0j)
195,(-23281.340205549008+0j)
196,(-23382.1750852839+0j)
197,(-23323.229575778256+0j)
198,(-23428.458053050876+0j)
199,(-23381.648331179327+0j)
200,(-23493.310775052367+0j)
201,(-23432.427282039265+0j)
202,(-23551.101746587385+0j)
203,(-23456.951606729934+0j)
204,(-23578.32324804869+0j)
205,(-23586.60126924763+0j)
206,(-23706.45511471247+0j)
207,(-23724.022434186256+0j)
208,(-23831.519905960144+0j)
209,(-23799.05230749824+0j)
210,(-23908.551298546565+0j)
211,(-23824.250940169164+0j)
212,(-23936.20466435704+0j)
213,(-23865.159014090365+0j)
214,(-23983.34908444347+0j)
215,(-24003.94923019514+0j)
216,(-24124.04878538364+0j)
217,(-25792.478780742906+0j)
218,(-25925.18565750261+0j)
219,(-25925.675404399146+0j)
220,(-26056.24126096485+0j)
221,(-27800.970857250322+0j)
222,(-27918.919804073837+0j)
223,(-28050.24868628453+0j)
224,(-28148.902309395216+0j)
225,(-28244.643792898365+0j)
226,(-28341.76152101726+0j)
227,(-28616.231060646616+0j)
228,(-28707.2562433366+0j)
229,(-29078.533406708066+0j)
230,(-29196.990241382147+0j)
231,(-29828.27894671521+0j)
232,(-29937.298260597563+0j)
233,(-29953.11729651329+0j)
234,(-30066.42057426038+0j)
235,(-30058.678185666504+0j)
236,(-30160.091251369617+0j)
237,(-30168.660784544736+0j)
238,(-30260.438690915435+0j)
239,(-30211.792134331437+0j)
240,(-30303.788827709002+0j)
241,(-30255.918178751024+0j)
242,(-30348.471197485436+0j)
243,(-30393.938999860668+0j)
244,(-30486.12512899295+0j)
245,(-30410.053839879067+0j)
246,(-30497.141241124355+0j)
247,(-30449.784266093553+0j)
248,(-30535.14795021389+0j)
249,(-30553.879020073404+0j)
250,(-30467.203092727737+0j)
251,(-30526.73656765007+0j)
252,(-30607.541460787168+0j)
253,(-30704.35472004831+0j)
254,(-30781.107799302103+0j)
255,(-30734.759017279008+0j)
256,(-30813.651945501693+0j)
257,(-30740.783881198666+0j)
258,(-30815.665383652427+0j)
259,(-31032.456809948046+0j)
260,(-31114.24609096819+0j)
261,(-31077.865999307778+0j)
262,(-31159.72619512667+0j)
263,(-31136.027591450853+0j)
264,(-31216.762701538784+0j)
265,(-31945.084921047383+0j)
266,(-31893.69081424727+0j)
267,(-32012.09425730468+0j)
268,(-32061.475454018604+0j)
269,(-32047.1375365628+0j)
270,(-32090.353968393752+0j)
271,(-37067.79904481559+0j)
272,(-37094.9115989461+0j)
273,(-37201.519103867024+0j)
274,(-37174.63200551543+0j)
275,(-37200.312140300004+0j)
276,(-37226.12355891829+0j)
277,(-37245.88621619455+0j)
278,(-37275.693655721574+0j)
279,(-37998.91137295174+0j)
280,(-38083.68039679029+0j)
281,(-38118.46252432222+0j)
282,(-38208.766683948335+0j)
283,(-38313.19776933606+0j)
284,(-38211.79201990007+0j)
285,(-38224.801535549166+0j)
286,(-38324.7497074995+0j)
287,(-38578.948729004915+0j)
288,(-38675.867954101675+0j)
289,(-41761.51538151552+0j)
290,(-41858.371827984505+0j)
291,(-42056.87801673566+0j)
292,(-42165.27495557424+0j)
293,(-44364.16196500856+0j)
294,(-44524.03425215549+0j)
295,(-44410.028904016785+0j)
296,(-44574.325728711185+0j)
297,(-44430.60497753482+0j)
298,(-44600.55647374196+0j)
299,(-44447.861945617406+0j)
300,(-44617.805979462166+0j)
301,(-44496.81306608314+0j)
302,(-44665.61538846877+0j)
303,(-44597.35596709671+0j)
304,(-44780.146773875844+0j)
305,(-44616.31154379535+0j)
306,(-44803.81666497431+0j)
307,(-44689.902181519035+0j)
308,(-44877.18182310662+0j)
309,(-44941.36228854662+0j)
310,(-44764.3704744327+0j)
311,(-44770.142871061966+0j)
312,(-44945.63904830962+0j)
313,(-44797.14433938643+0j)
314,(-44970.3624115849+0j)
315,(-44818.42587685313+0j)
316,(-44990.13762462506+0j)
317,(-44858.13486791156+0j)
318,(-45028.53198316807+0j)
319,(-44859.113007667416+0j)
320,(-45029.702459899825+0j)
321,(-44877.862726003266+0j)
322,(-45047.06804624274+0j)
323,(-44883.79694725992+0j)
324,(-45055.277844365344+0j)
325,(-44926.35054015598+0j)
326,(-45096.53632166465+0j)
327,(-44943.54425636619+0j)
