,0
0,(-307.75743704129854-7.814456666734956e-14j)
1,(-198.3275456725458+5.242128378943239e-15j)
2,(-281.4128327900517-3.637050469761641e-13j)
3,(-212.05122462641134+3.3216742472508313e-13j)
4,(-215.741033094255-6.90970578668825e-14j)
5,(-255.0285892448797+1.6638305224956522e-13j)
6,(-237.2227224162273-3.21656987514169e-14j)
7,(-196.96292574076412+2.8553103504759713e-13j)
8,(-199.40106753318295-3.156792573581528e-13j)
9,(-285.9289555124481-2.960553538609899e-13j)
10,(-212.56759043177664+4.53169617703769e-14j)
11,(-279.4807729049269+3.1788470217978464e-13j)
12,(-221.13466189069166+2.27100502739157e-14j)
13,(-271.655730332274+1.1473862448963922e-13j)
14,(-226.76934814767043-1.2634161601436513e-14j)
15,(-228.02781357032327-2.8879725584214635e-15j)
16,(-256.1859025358396-6.8423307614914795e-15j)
17,(-248.27711400363827-6.265247197514138e-14j)
18,(-286.1939915094696+2.860074390937733e-13j)
19,(-200.8912692543572+4.3590135393079687e-13j)
20,(-280.2072398070441-1.514738069961932e-13j)
21,(-204.7555890857406+9.789465378015354e-14j)
22,(-211.81405521111927-6.612639568861607e-14j)
23,(-213.94962519747673+9.393202421199349e-14j)
24,(-273.62006291735594+6.495594897011133e-14j)
25,(-229.32606284247845-2.5447973923042387e-13j)
26,(-242.5249018462972+2.016633683321152e-13j)
27,(-250.96329643855017-3.5148255330731895e-13j)
28,(-248.45840105493917+1.0458962891019025e-13j)
29,(-307.9114499548483-6.063029818600876e-14j)
30,(-300.8800835657911+3.84727726744312e-14j)
31,(-294.6218479869356+2.1400406646140463e-13j)
32,(-206.1414507720633-5.013836835574897e-14j)
33,(-209.49810828424864-6.731685736534901e-14j)
34,(-284.1673300508289+3.1559376935711e-13j)
35,(-221.0370050624716-1.979245957196318e-13j)
36,(-224.53632470551455-2.1092388297856274e-13j)
37,(-276.83694667310385+2.82659507294278e-13j)
38,(-265.3596932466772-2.653539628179308e-13j)
39,(-262.1185555834197+7.301910683121123e-13j)
40,(-302.9325274075735-1.0658141036401503e-14j)
41,(-300.0312817715074-3.707849826315156e-14j)
42,(-290.52021446443905-7.283855225432448e-13j)
43,(-283.4266078538694+3.920978403304928e-14j)
44,(-218.51142478250156-9.860149149495325e-15j)
45,(-279.4840411728159-2.468012122808171e-14j)
46,(-271.23718673918705-4.360688067401006e-14j)
47,(-244.01357375548426+1.1632678048314639e-14j)
48,(-245.42470689586852+6.956721320596136e-14j)
49,(-204.65956013105273+9.947598300641403e-14j)
50,(-306.613081964917-1.5017167747285118e-13j)
51,(-301.24552696455146+7.281250351677247e-14j)
52,(-297.76194931626134+2.5645951349214455e-13j)
53,(-293.6549732642489-9.530855732197992e-14j)
54,(-289.3737923812605+3.800759841779254e-14j)
55,(-231.10517077623274+2.869896279605569e-13j)
56,(-234.27981554378138+1.1420389801816549e-13j)
57,(-242.1320746184403+2.186051010509235e-13j)
58,(-265.9039532284602-2.9928238644588817e-14j)
59,(-258.91542990763276-1.158588495282199e-13j)
60,(-314.6084643303047+2.2348763646303102e-13j)
61,(-194.20365713457122-2.2991405825265005e-13j)
62,(-296.94164473883376+4.924311698515384e-13j)
63,(-214.53562946100533-2.6067927987240828e-14j)
64,(-221.21167416577035-1.243971113364941e-16j)
65,(-240.80720593180914-5.313474306274893e-14j)
66,(-232.583488156169+4.5057289940343714e-14j)
67,(-312.42048747892295-1.2531666822183898e-13j)
68,(-300.3973362460125+1.6400527721909488e-13j)
69,(-297.1847172734057+9.111997903837342e-14j)
70,(-294.621218091288+3.059135194070421e-13j)
71,(-288.2495531961046-1.7015222770449378e-13j)
72,(-228.88889827571126-9.765116414042293e-15j)
73,(-277.0461288313726+1.426711442700048e-13j)
74,(-270.91484443576996-1.215997106118539e-13j)
75,(-242.20449125046855-1.0968511054645625e-13j)
76,(-211.33426087126836-2.7625317199177905e-13j)
77,(-217.03804346010648+1.7801672170758295e-13j)
78,(-220.4395503138515-8.097832161319208e-14j)
79,(-296.2181106099039-6.57077155461702e-13j)
80,(-231.6501189253517+2.420370861496658e-13j)
81,(-246.19177386859033-4.918988519240159e-14j)
82,(-253.00853013263276+4.284871177537006e-13j)
83,(-300.60399751552575-2.842170943040401e-14j)
84,(-197.1492363356581-1.3892492254536871e-13j)
85,(-288.13620814245087-2.398193172464883e-13j)
86,(-286.1301095994606+4.4637306237489913e-13j)
87,(-282.11753392737995-6.444212812838147e-14j)
88,(-272.42743116729196+5.411219128812902e-14j)
89,(-259.8490863390606-2.409736116913178e-13j)
90,(-254.28350624534497+2.686037883457491e-13j)
91,(-250.83761644948603-1.8408569475284915e-13j)
92,(-303.04965620773174+9.034187983438525e-15j)
93,(-301.7356447632148+1.1230143370795999e-13j)
94,(-208.26895299879672-7.453541298629628e-15j)
95,(-213.79146354934068+4.145398448118335e-15j)
96,(-218.07152797429214-1.3184245674146605e-13j)
97,(-288.66111317790075-2.2375071661783228e-13j)
98,(-225.31154781240923-1.2994199568555438e-13j)
99,(-278.204157969039+1.6272611576703743e-13j)
100,(-231.1051337580822-1.1059715996456372e-13j)
101,(-241.9948614030629+6.826702226234814e-14j)
102,(-251.61359265059366+1.766541293529617e-13j)
103,(-212.49214715595127-1.1546319456101628e-13j)
104,(-307.6029652342766+1.412950581625098e-13j)
