,0
0,(-1221.3969738530861-2.2737367544323206e-13j)
1,(-1202.5450367103822-1.2269009798564712e-12j)
2,(-845.7510325072017+8.375434880660703e-13j)
3,(-861.3331801725656+2.8870676236143906e-13j)
4,(-1135.7712105145258-9.5716116278908e-13j)
5,(-965.983555877749+2.604633363161148e-13j)
6,(-1102.9230099230322-5.638106449011751e-13j)
7,(-1258.3793718675893-2.386836540189417e-12j)
8,(-1176.9830871232875+1.5072444610649548e-12j)
9,(-1172.621354982112-1.892302335840564e-12j)
10,(-894.5585003695187-1.190214861699537e-12j)
11,(-1126.1423229684808+3.5389112298868945e-13j)
12,(-1102.7660974177302+1.279517971386563e-13j)
13,(-949.7507705121872+7.336628203690928e-13j)
14,(-1218.5871018037292-1.0627414073818153e-12j)
15,(-1220.9257700554322+1.052318043103153e-12j)
16,(-1116.099653948785-2.1186963402727007e-12j)
17,(-885.2624215086239-1.5929501983268177e-12j)
18,(-919.3438643229022-6.942950493528396e-13j)
19,(-981.964360826835-3.6236636837005523e-13j)
20,(-1005.8264091507127+3.343221498790748e-13j)
21,(-1254.959840688973-6.087049272194552e-13j)
22,(-1217.3871717166987+2.673844898245896e-13j)
23,(-1186.5941555282327+1.3515995684363442e-13j)
24,(-868.3004171305804+9.63458211566095e-13j)
25,(-888.5012687333048+1.1094380214764595e-13j)
26,(-1142.0543606731972+4.610751184069173e-13j)
27,(-930.5318488354618-6.753136819991239e-13j)
28,(-981.3596734514256-6.501458748199017e-13j)
29,(-984.957978868972+1.598150030520214e-12j)
30,(-1046.9722186377344+8.514822096011709e-14j)
31,(-1030.4339021819544+5.113943679912566e-13j)
32,(-1212.9693792424066+2.4339685131839644e-12j)
33,(-1134.0341800826518+1.806648757574929e-12j)
34,(-891.0450983357679-5.123075601052238e-13j)
35,(-1111.2460516449808-2.362239869788846e-12j)
36,(-1095.0026640243193+5.049358630738079e-13j)
37,(-933.9390103774115-1.9529436634463266e-13j)
38,(-948.6264281900002-5.818781384048665e-13j)
39,(-993.791759816562-3.8600532335280705e-13j)
40,(-975.2216300034538+9.595881605989684e-13j)
41,(-1172.8836721680148-2.2558863884983047e-12j)
