,0
0,-48.44154221158005
1,-45.62218643141467
2,-45.412097211265674
3,-43.26840827523705
4,-42.96106983851398
5,-42.65077748601421
6,-42.60155103431207
7,-42.37127012135479
8,-42.277433958365
9,-42.26326357642827
10,-42.09068231204376
11,-42.05701017210583
12,-41.55760296006587
13,-41.48436322058698
14,-41.38015925578336
15,-41.37284338428734
16,-41.28918773518324
17,-40.87722611945778
18,-40.708885518883264
19,-40.23171146684637
20,-40.121797757965375
21,-40.07819543749837
22,-39.99092153542684
23,-39.98259186403348
24,-39.97109051273715
25,-39.79073669534277
26,-39.68551997611498
27,-39.677782788865855
28,-39.62509049508203
29,-39.60478361417395
30,-39.53426482654428
31,-39.49613292971355
32,-39.44468181868416
33,-39.437230428031896
34,-39.42154076394139
35,-39.40752539244201
36,-39.40403116549937
37,-39.38293389371585
38,-39.34324748008708
39,-39.277128578794766
40,-39.20715874403454
41,-39.11800954283649
42,-39.10147512899197
43,-38.96881307170507
44,-38.88958241426772
45,-38.71538759223874
46,-38.70526855503793
47,-38.57614052452505
48,-38.554022724388865
49,-38.51658062867498
50,-38.50005609562738
51,-38.427898350603805
52,-38.34687296284083
53,-38.20334114467958
54,-38.141782941366124
55,-38.131147939421275
56,-38.12931521434242
57,-38.11891049864104
58,-38.04294164065173
59,-37.97733399107041
60,-37.926343354531035
61,-37.83816111733177
62,-37.77823098463873
63,-37.77380001871621
64,-37.740503075102026
65,-37.73105300408085
66,-37.5671869524313
67,-37.52222288525475
68,-37.50800676367583
69,-37.49713616532012
70,-37.46056906427415
71,-37.40960164996363
72,-37.38758013631993
73,-37.36231429101059
74,-37.356868102446526
75,-37.356679665679515
76,-37.338235710677445
77,-37.33480540392179
78,-37.33336891001753
79,-37.30178965201338
80,-37.29818740560639
81,-37.26371456415632
82,-37.256820628651155
83,-37.24542032429501
84,-37.233817805036566
85,-37.23222124712538
86,-37.23171181826677
87,-37.183143709719225
88,-37.13646375555569
89,-37.12274723513384
90,-37.07161496069838
91,-37.015039313156564
92,-36.906165908270204
93,-36.89500870947162
94,-36.885502462637156
95,-36.88072376241386
96,-36.8760713781482
97,-36.80989045816311
98,-36.77331075253511
99,-36.73885793742135
100,-36.733512982256315
101,-36.70820682321293
102,-36.68730343631927
103,-36.67629652020554
104,-36.66416659482563
105,-36.65903143702005
106,-36.65100377096891
107,-36.64534449517872
108,-36.63196633076838
109,-36.61379996275504
110,-36.58031449088483
111,-36.574414662689925
112,-36.56526782178601
113,-36.55567380208998
114,-36.51592037048537
115,-36.51380319392149
