,0
0,(-2.897459695828639e-15-7.449509314300254e-17j)
1,(6.452994261990129e-16+7.306302826664556e-18j)
2,(3.6574113282204605e-16-1.68649542105548e-17j)
3,(3.6114459889390977e-16-3.3852910227216733e-18j)
4,(4.715313749448486e-15+1.114626992997564e-17j)
5,(1.3107728538565123e-15+2.719485186649176e-16j)
6,(8.014654048342285e-17+1.1686661616144947e-17j)
7,(-3.3178254600466137e-16+3.516509035977163e-17j)
8,(7.007325758940806e-15+3.890557115581447e-17j)
9,(3.4168444611724134e-17+5.3759960409991854e-17j)
10,(1.773365077064628e-15+7.049945968090373e-17j)
11,(6.941415950232442e-16+8.93981709063306e-20j)
12,(-3.918498687440744e-15+2.216036799016601e-17j)
13,(2.875333963757773e-16+8.484578577278069e-17j)
14,(-1.3707682071189829e-15-6.53384808910488e-18j)
15,(-3.12449846320598e-15-1.650134259446736e-17j)
16,(-4.183520019237637e-15+7.582405550348614e-17j)
17,(-3.1601490877809335e-15+7.670311805917446e-17j)
18,(-1.7159317610031316e-16-4.084386868847396e-17j)
19,(1.7002117681361123e-15+9.717234419163786e-18j)
20,(-3.3641711542059083e-16+6.273280039804405e-17j)
21,(-4.376303433187417e-16-1.946852347439455e-17j)
22,(1.8633190850140164e-16+8.277231048130385e-17j)
23,(-2.8077002195163488e-15-1.6365361765826726e-18j)
24,(5.274039811178314e-16-1.2755793590441165e-16j)
25,(-7.044359760636022e-16+8.542626708735137e-18j)
26,(5.339808683688333e-16-1.581572853831419e-17j)
27,(2.239566173537526e-16-8.554009372139394e-18j)
28,(1.2397827701429251e-15-3.168786723411106e-18j)
29,(1.1105208423938798e-16-3.5659844226141343e-17j)
30,(-1.274408080017787e-15+1.8663994878262384e-17j)
31,(-9.284569936841763e-16-4.1402436613147536e-18j)
32,(1.244604839276525e-15-4.8781968208297226e-18j)
33,(-2.107853598008822e-15+9.895794056563892e-17j)
34,(-3.658642632404442e-15-2.8387392968766176e-16j)
35,(-1.7337988853080187e-16-2.0260278789741414e-17j)
36,(-7.805713366453463e-16+3.653158205619243e-18j)
37,(-8.912551246317095e-16-3.3103113283565065e-17j)
38,(1.843088710798115e-15+1.7049364306521124e-16j)
39,(-6.369571617676932e-16-5.4016900517881186e-17j)
40,(-1.9805317263329812e-16-2.4823388574316982e-18j)
41,(-5.027381237919403e-16-3.715440309680909e-17j)
42,(2.2154221056820442e-16+6.304028644826216e-17j)
43,(-7.642149141256127e-16-7.217094036729833e-17j)
44,(-1.516603200594237e-14+3.4420062940062027e-17j)
