index, number
0,(-2.1628581337924505e-15-5.836304298522648e-17j)
1,(1.6920686683386481e-16+4.227514768027829e-17j)
2,(-8.661272464995404e-16-6.355590707035293e-16j)
3,(9.78880654832652e-16-2.2764679015623454e-16j)
4,(4.502740503993062e-16-1.844458901180785e-16j)
5,(-2.8115946048551797e-16+5.654428292814596e-17j)
6,(-2.6163732801208288e-15-1.6573439093023657e-16j)
7,(-3.4418428025458697e-15-1.7240161534451264e-17j)
8,(-2.042592569808756e-15-2.042053230264069e-16j)
9,(6.580278244081612e-16-4.080725269656579e-17j)
10,(-1.1791858717051793e-15-2.474665319349964e-16j)
11,(-4.782483525149224e-16-3.164099594939601e-16j)
12,(-6.7332097205246584e-15+3.1518129680286036e-17j)
13,(-1.6193738939830646e-15+8.200024063269828e-17j)
14,(1.9168593265053717e-15+2.0031692005194376e-16j)
15,(4.73254865459457e-16+2.1525440735571383e-16j)
16,(2.0697994075176662e-16+1.202814199864692e-16j)
17,(1.1856202330357747e-15+5.875153800461911e-17j)
18,(-1.4508614071360903e-14-5.189304132853593e-16j)
19,(-1.3007131158309983e-15-2.303119524778254e-16j)
20,(7.523662179830394e-15+3.237794466901518e-17j)
21,(4.856677583599679e-15+4.655130849116098e-16j)
22,(-5.031726542384571e-16+1.6934759082235364e-16j)
23,(-1.4852546674821905e-15-1.149193532058705e-16j)
24,(-1.0384924932718212e-16-4.912105521475859e-16j)
25,(-1.6079277382267272e-15-1.3272949951116556e-16j)
26,(-5.861743440872545e-15-1.8033229123845802e-16j)
27,(1.2464723569827848e-15+1.1297908092909593e-16j)
28,(-1.498462078481733e-15+2.8427356443626755e-16j)
29,(-1.3273777227067263e-16-5.738022844693207e-16j)
30,(3.355888009820791e-15+1.189750653998875e-16j)
31,(2.1265069348022548e-16+2.1322222257246465e-16j)
32,(-4.252900463118699e-15+1.623681724567259e-16j)
33,(-3.3143413134812036e-15-2.2310126396287662e-17j)
34,(1.5432568927208183e-15+7.862124212061624e-17j)
35,(7.248260742725581e-16-4.9742561435801127e-17j)
36,(5.744330763682715e-16+1.914954403347324e-16j)
37,(3.916647383278186e-16-5.4570073687462427e-17j)
38,(7.451632149054845e-16+5.959295938469972e-17j)
39,(-4.2190884935317083e-16-3.2942884865854807e-16j)
40,(7.7604508340234225e-16+2.821303820917235e-16j)
41,(3.406359409083736e-15-3.18219807884372e-16j)
42,(5.865031606142838e-16+3.2213800347527496e-16j)
43,(-2.075159995497732e-15+7.34973869201123e-17j)
44,(-4.03220033373985e-15-1.1098445245410951e-16j)
45,(2.69411425296513e-15+3.654990613560291e-16j)
46,(4.354568827356459e-15+2.5542504396552373e-17j)
47,(-1.936917586646018e-15+4.0578829336883877e-16j)
48,(-5.375617383217768e-16+8.971342153518804e-17j)
49,(-1.306442189872681e-15-1.0869397699415445e-17j)
50,(5.614410273126987e-16-2.834186757548827e-16j)
51,(-2.196771751235089e-15-1.7307850483084142e-16j)
52,(-1.5036877918744812e-15+3.2802645506618398e-16j)
53,(7.587540183443496e-16-4.989644004834186e-16j)
54,(4.06201875301668e-15+5.491799769034381e-16j)
55,(5.1565410979687255e-15+1.612841654512805e-17j)
56,(3.9859127048994347e-16-3.1860676058495624e-16j)
57,(2.372903293836506e-14-1.9681790727237588e-16j)
58,(-2.090404747195486e-15-1.414319321382819e-17j)
59,(6.990543343152098e-16+1.1468279266759304e-16j)
60,(2.736144662729467e-16-1.9983575129700545e-16j)
61,(-1.5343693491678092e-15-9.859119234920428e-17j)
62,(-4.74417939038454e-15+5.832642392536427e-16j)
63,(1.278193676602156e-15+2.6290655491924167e-17j)
64,(-1.2694516399134942e-15-1.001708619387512e-16j)
65,(-3.774537399724851e-15-2.0777677864969814e-16j)
66,(-8.365624976523238e-17-6.882819962833072e-17j)
67,(1.2074403497057972e-15+1.723787051588184e-16j)
68,(4.430850014700024e-15+4.2500976234470494e-17j)
69,(3.8602124428459603e-16-8.96244038494989e-18j)
70,(-2.860324632916743e-15+2.1619496729225606e-16j)
71,(-1.7873091332733176e-15-5.315307064611406e-17j)
72,(-1.206739367497564e-15+1.1923309715250305e-16j)
73,(7.433693404269238e-16+2.2097328009061968e-17j)
74,(1.2221290195513194e-15-3.130541302401827e-16j)
75,(-4.465983126143487e-16-2.38400140494121e-16j)
76,(-1.0121123837500374e-15+1.9981933129536114e-16j)
77,(7.271208271128757e-16+1.8067497661985564e-16j)
78,(1.1949519750845212e-15+3.1630573195069797e-17j)
79,(-1.6703664898090813e-15+8.158699919006372e-17j)
80,(-2.1235694785227065e-15+9.07312290048969e-16j)
81,(9.633635919667137e-16+1.6649346702272696e-16j)
82,(-1.2191344490349562e-15-7.233741738227523e-17j)
83,(2.3147699238659683e-14+2.475148443217549e-17j)
84,(1.4107650310090276e-15-3.4149395388783267e-16j)
85,(-3.1248751075311423e-18-1.9837632271516146e-17j)
86,(-1.4768240799535832e-14+8.508630608815918e-17j)
87,(-1.6562863840407728e-16-1.1729402313202268e-16j)
88,(1.6524514063059382e-16+1.2117533709176863e-16j)
89,(-9.397185407510998e-16-2.495767747812312e-16j)
90,(2.7052500431350046e-15+3.602447229273551e-16j)
91,(-6.799724333500651e-16+3.0218250907755117e-16j)
92,(1.5873559893295457e-15-2.9804669210142284e-16j)
93,(2.5312681895731227e-16-1.1782523103553168e-16j)
94,(2.7338865181177067e-16-6.0968209467205e-17j)
95,(1.4889418851482504e-15+1.1551591517808993e-16j)
96,(4.1558483028793237e-16+1.772371244150927e-16j)
97,(-1.0583302832334836e-15-1.3158502975509822e-16j)
98,(-8.227846316668195e-15+7.796193429903128e-17j)
99,(-1.328955646206604e-14-5.447272801709529e-16j)
100,(-1.7408982603715956e-15+1.2344090970827352e-16j)
101,(2.187156041742134e-16-1.0036870576118444e-16j)
102,(-8.99410862860307e-16+9.82616052062853e-17j)
103,(1.3564026675992975e-15-1.9196007908139243e-16j)
104,(-9.381613636979003e-16-2.0208186628178398e-16j)
105,(-2.9845542379218532e-15-5.5497103604958154e-17j)
106,(-6.18626633630766e-16+4.8273216965332234e-17j)
